[Multi] Pair: SOL/USD
[Multi] RSI buy<40, sell>58
[Multi] Drawdown limit: 3.0%
[CrossMind] Initialized in live mode
[CrossMind] Initial capital: $10,000.00
[CrossMind] Dead Man's Switch ENABLED — orders auto-cancel if agent stops

============================================================
  CrossMind Live Paper Trading
  Pair: SOL/USD | Interval: 120s
  Max Drawdown: 3.0%
============================================================

  ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.54 | RSI 52.52 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.55 | RSI 52.57 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.56 | RSI 52.62 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.60 | RSI 52.81 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.41 | RSI 51.87 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.53 | RSI 52.52 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.47 | RSI 52.17 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.50 | RSI 52.32 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.54 | RSI 52.52 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.55 | RSI 52.57 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.57 | RSI 52.66 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.74 | RSI 53.47 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.95 | RSI 54.44 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.05 | RSI 54.62 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.94 | RSI 54.39 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.95 | RSI 54.44 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $83.89 | RSI 54.17 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.00 | RSI 57.48 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.02 | RSI 57.57 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
  SOL/USD $84.14 | RSI 58.09 | HOLD | DD 0.0% | PnL $+0.00 | 💤 FLAT    ⚡ Dead Man's Switch refreshed (60s)
